Group	Strains	Similarity	Accession	Genus_Species	Taxon
D1	D101005	98.97	BAZX01000063	Marinifilum fragile	Bacteroidetes;Bacteroidia;Marinilabiliales;Marinifilaceae
D1	D101071	98.97	BAZX01000063	Marinifilum fragile	Bacteroidetes;Bacteroidia;Marinilabiliales;Marinifilaceae
D1	D101115	98.97	KX839492	Algoriphagus marinus	Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae
D1	D102005	98.97	LGIA01000015	Sunxiuqinia dokdonensis	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D102010	98.97	AJ315682	Roseicyclus mahoneyensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D1	D102030	98.97	AJ315682	Roseicyclus mahoneyensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D1	D105009	98.97	BAZX01000063	Marinifilum fragile	Bacteroidetes;Bacteroidia;Marinilabiliales;Marinifilaceae
D1	D105035	98.97	BAZX01000063	Marinifilum fragile	Bacteroidetes;Bacteroidia;Marinilabiliales;Marinifilaceae
D1	D107017	98.97	BAZX01000063	Marinifilum fragile	Bacteroidetes;Bacteroidia;Marinilabiliales;Marinifilaceae
D1	D107037	98.97	BAZX01000063	Marinifilum fragile	Bacteroidetes;Bacteroidia;Marinilabiliales;Marinifilaceae
D1	D107086	98.97	BAZX01000063	Marinifilum fragile	Bacteroidetes;Bacteroidia;Marinilabiliales;Marinifilaceae
D1	D108009	98.97	BAZX01000063	Marinifilum fragile	Bacteroidetes;Bacteroidia;Marinilabiliales;Marinifilaceae
D1	D110034	98.97	AJ315682	Roseicyclus mahoneyensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D1	D104033	98.98	LGIA01000015	Sunxiuqinia dokdonensis	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D107019	98.98	LGIA01000015	Sunxiuqinia dokdonensis	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D108001	98.98	LGIA01000015	Sunxiuqinia dokdonensis	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D108019	98.98	LGIA01000015	Sunxiuqinia dokdonensis	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D107106	98.98	AY636111	Ornithinimicrobium kibberense	Actinobacteria;Actinomycetia;Dermatophilales;Ornithinimicrobiaceae
D1	D102022	98.99	LGIA01000015	Sunxiuqinia dokdonensis	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101034	98.99	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D105014	98.99	EU399548	Marinobacterium maritimum	Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae
D1	D102040	98.99	LGIA01000015	Sunxiuqinia dokdonensis	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D105036	98.99	EU399548	Marinobacterium maritimum	Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae
D1	D101049	98.99	BAZX01000063	Marinifilum fragile	Bacteroidetes;Bacteroidia;Marinilabiliales;Marinifilaceae
D1	D106063	98.99	AJ315682	Roseicyclus mahoneyensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D1	D108020	98.99	BAZX01000063	Marinifilum fragile	Bacteroidetes;Bacteroidia;Marinilabiliales;Marinifilaceae
D1	D101043	99.10	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101069	99.10	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D104041	99.10	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D111006	99.11	AJ306612	Trichococcus collinsii	Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae
D1	D103015	99.12	BATL01000140	Vibrio azureus	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae
D1	D104088	99.12	FM210033	Shewanella chilikensis	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D1	D102004	99.12	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D102020	99.22	X87756	Kocuria rosea	Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae
D1	D101028	99.23	AY636111	Ornithinimicrobium kibberense	Actinobacteria;Actinomycetia;Dermatophilales;Ornithinimicrobiaceae
D1	D110027	99.23	AJ306612	Trichococcus collinsii	Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae
D1	D106090	99.23	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D102043	99.23	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D106060	99.23	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D102044	99.24	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D104057	99.24	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D104051	99.24	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D107100	99.24	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D107056	99.25	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D110037	99.34	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D102013	99.36	AJ514408	Paenisporosarcina macmurdoensis	Firmicutes;Bacilli;Bacillales;Planococcaceae
D1	D102056	99.36	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D110081	99.36	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D111005	99.36	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D112005	99.36	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D113003	99.36	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101120	99.36	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D102027	99.36	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D110013	99.36	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D111027	99.36	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101021	99.36	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101046	99.36	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101048	99.36	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D104037	99.36	jgi.1107918	Marivita hallyeonensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D1	D108016	99.36	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D111017	99.36	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D103037	99.37	AM072764	Exiguobacterium mexicanum	Firmicutes;Bacilli;Bacillales;Exiguobacterium_f;Exiguobacterium;Exiguobacterium mexicanum
D1	D104060	99.37	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D104050	99.37	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D105025	99.37	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D105046	99.37	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D106085	99.37	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D106089	99.37	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D110028	99.37	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D111016	99.37	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D111072	99.37	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101030	99.37	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101062	99.37	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101064	99.37	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101114	99.37	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D104058	99.37	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D104086	99.37	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D106023	99.37	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D106032	99.37	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D106057	99.37	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D106066	99.37	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D107020	99.37	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D107082	99.37	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D115031	99.37	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D102046	99.37	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D104038	99.37	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D104054	99.37	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D104108	99.37	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D108035	99.37	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D110018	99.37	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D105011	99.37	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101008	99.37	KP214057	Mangrovibacterium marinum	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D104053	99.37	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D110019	99.37	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101025	99.37	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101117	99.48	DQ458821	Marinobacter pelagius	Proteobacteria;Gammaproteobacteria;Alteromonadales;Marinobacter_f;Marinobacter;Marinobacter pelagius
D1	D115049	99.48	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101111	99.49	RZMZ01000008	Muricauda aquimarina	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
D1	D113016	99.49	MUYG01000008	Porphyrobacter donghaensis	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae
D1	D101083	99.49	MN435603	Halomonas piezotolerans	Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae
D1	D104063	99.49	MUYJ01000004	Porphyrobacter tepidarius	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae
D1	D105034	99.49	KP214057	Mangrovibacterium marinum	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D107067	99.49	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D102060	99.50	KP214057	Mangrovibacterium marinum	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D105022	99.50	KP214057	Mangrovibacterium marinum	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D106006	99.50	KP214057	Mangrovibacterium marinum	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D107085	99.50	KP214057	Mangrovibacterium marinum	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D108006	99.50	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D107097	99.59	AY636111	Ornithinimicrobium kibberense	Actinobacteria;Actinomycetia;Dermatophilales;Ornithinimicrobiaceae
D1	D103019	99.61	AY636111	Ornithinimicrobium kibberense	Actinobacteria;Actinomycetia;Dermatophilales;Ornithinimicrobiaceae
D1	D105039	99.61	AJ306612	Trichococcus collinsii	Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae
D1	D103009	99.62	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D1	D103026	99.62	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D1	D103064	99.62	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D1	D107054	99.62	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D1	D103061	99.62	RZMZ01000008	Muricauda aquimarina	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
D1	D105037	99.62	jgi.1058078	Cohaesibacter marisflavi	Proteobacteria;Alphaproteobacteria;Rhizobiales;Cohaesibacteraceae
D1	D102074	99.62	jgi.1085777	Yoonia rosea	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D1	D104089	99.62	HM016084	Shewanella indica	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D1	D108023	99.62	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D1	D104004	99.62	AM072764	Exiguobacterium mexicanum	Firmicutes;Bacilli;Bacillales;Exiguobacterium_f;Exiguobacterium;Exiguobacterium mexicanum
D1	D105003	99.62	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D107058	99.62	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D1	D102036	99.74	X87756	Kocuria rosea	Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae
D1	D111010	99.74	MG822733	Maribellus luteus	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D111064	99.74	AUBU01000014	Algoriphagus marincola	Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae
D1	D103013	99.74	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D1	D103016	99.74	RZMZ01000008	Muricauda aquimarina	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
D1	D103034	99.74	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D1	D107047	99.74	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D111085	99.74	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D1	D111093	99.74	MK249690	Algoriphagus aquimaris	Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae
D1	D101024	99.74	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D1	D104016	99.74	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D1	D104045	99.74	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D109005	99.75	GQ260190	Shewanella upenei	Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae
D1	D115045	99.75	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D1	D101107	99.75	DQ371431	Mesobacillus thioparans	Firmicutes;Bacilli;Bacillales;Bacillaceae
D1	D104013	99.75	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D1	D105038	99.75	AB294167	Alkalibacterium putridalgicola	Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae
D1	D105058	99.75	JRHC01000015	Draconibacterium sediminis	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D107071	99.75	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D1	D110040	99.75	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D1	D111077	99.75	MK249690	Algoriphagus aquimaris	Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae
D1	D113019	99.75	EU221274	Seohaeicola saemankumensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D1	D103017	99.75	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D104091	99.86	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D104024	99.87	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D106077	99.87	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101009	99.87	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D102025	99.87	AM072764	Exiguobacterium mexicanum	Firmicutes;Bacilli;Bacillales;Exiguobacterium_f;Exiguobacterium;Exiguobacterium mexicanum
D1	D108007	99.87	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D110042	99.87	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D112010	99.87	jgi.1058078	Cohaesibacter marisflavi	Proteobacteria;Alphaproteobacteria;Rhizobiales;Cohaesibacteraceae
D1	D101019	99.87	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101027	99.87	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101029	99.87	MK249690	Algoriphagus aquimaris	Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae
D1	D101079	99.87	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D102064	99.87	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D103010	99.87	AM072764	Exiguobacterium mexicanum	Firmicutes;Bacilli;Bacillales;Exiguobacterium_f;Exiguobacterium;Exiguobacterium mexicanum
D1	D103011	99.87	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D103059	99.87	MK249690	Algoriphagus aquimaris	Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae
D1	D105002	99.87	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D105049	99.87	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D105054	99.87	KT369807	Arenibacillus arenosus	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D1	D106009	99.87	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D107073	99.87	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D107081	99.87	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D111023	99.87	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D112004	99.87	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D115021	99.87	RKRA01000001	Georgenia muralis	Actinobacteria;Actinomycetia;Bogoriellales;Bogoriellaceae
D1	D107084	99.87	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101068	99.87	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D104010	99.87	KF212463	Arthrobacter ginsengisoli	Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae
D1	D107046	99.87	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D113018	99.87	MK249690	Algoriphagus aquimaris	Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae
D1	D106051	99.87	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D104039	99.87	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D107050	99.87	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D112012	99.87	KY060008	Roseicyclus marinus	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D1	D103042	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D103066	100.00	KC550155	Ornithinimicrobium flavum	Actinobacteria;Actinomycetia;Dermatophilales;Ornithinimicrobiaceae
D1	D104029	100.00	AY594264	Exiguobacterium aestuarii	Firmicutes;Bacilli;Bacillales;Exiguobacterium_f;Exiguobacterium;Exiguobacterium aestuarii
D1	D108014	100.00	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101003	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101004	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101015	100.00	LGIA01000015	Sunxiuqinia dokdonensis	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101026	100.00	MG601116	Bacillus fungorum	Firmicutes;Bacilli;Bacillales;Bacillaceae
D1	D101036	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101039	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101040	100.00	jgi.1076234	Sunxiuqinia elliptica	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101044	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101045	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101055	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101056	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101063	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101065	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101066	100.00	AB851476	Sunxiuqinia rutila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101067	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101070	100.00	jgi.1058078	Cohaesibacter marisflavi	Proteobacteria;Alphaproteobacteria;Rhizobiales;Cohaesibacteraceae
D1	D101078	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101080	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101109	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101113	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D101118	100.00	AM072764	Exiguobacterium mexicanum	Firmicutes;Bacilli;Bacillales;Exiguobacterium_f;Exiguobacterium;Exiguobacterium mexicanum
D1	D102002	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D102003	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D102023	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D1	D102045	100.00	CP007451	Draconibacterium orientale	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
