Bin,BinRA,TopTaxonID,TopTaxonRAinBin,TopTaxon.Kingdom,TopTaxon.Phylum,TopTaxon.Class,TopTaxon.Order,TopTaxon.Family,TopTaxon.Genus,Kingdom.maxNamed,Kingdom.maxNamed.Percent,Phylum.maxNamed,Phylum.maxNamed.Percent,Class.maxNamed,Class.maxNamed.Percent,Order.maxNamed,Order.maxNamed.Percent,Family.maxNamed,Family.maxNamed.Percent,Genus.maxNamed,Genus.maxNamed.Percent
Bin92,0.001904017,OTU_796,0.287802438,Bacteria,Firmicutes,Bacilli,Izemoplasmatales,Izemoplasmataceae,bacterium,Bacteria,1,Firmicutes,0.999691323,Bacilli,0.993110161,Izemoplasmatales,0.943298857,Izemoplasmataceae,0.942435307,bacterium,0.474899346
Bin93,0.049606952,OTU_141,0.966545312,Bacteria,Firmicutes,Bacilli,Exiguobacterales,Exiguobacteraceae,Exiguobacterium,Bacteria,1,Firmicutes,1,Bacilli,0.999967129,Exiguobacterales,0.969960966,Exiguobacteraceae,0.969960966,Exiguobacterium,0.969960966
Bin94,0.020160737,OTU_156,0.964938981,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Trichococcus,Bacteria,1,Firmicutes,0.990615933,Bacilli,0.979915187,Lactobacillales,0.976912743,Carnobacteriaceae,0.966040332,Trichococcus,0.965821824
Bin95,0.000500464,OTU_137,0.420846764,Bacteria,Firmicutes,Clostridia,Peptococcales,Peptococcaceae,uncultured,Bacteria,1,Firmicutes,0.952536787,Clostridia,0.952536787,Peptococcales,0.531689924,Peptococcaceae,0.531689924,uncultured,0.531689924
Bin96,0.001145452,OTU_2101,0.409037164,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Colidextribacter,Bacteria,1,Firmicutes,1,Clostridia,1,Hungateiclostridiaceae,0.509756221,Oscillospiraceae,0.457746889,Colidextribacter,0.430398791
Bin97,0.000120157,OTU_2919,0.294814227,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ethanoligenenaceae,Acetanaerobacterium,Bacteria,1,Firmicutes,1,Clostridia,1,Oscillospirales,1,Ruminococcaceae,0.567589382,Acetanaerobacterium,0.294814227
Bin98,5.22E-05,OTU_989,0.222736391,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes__vadinHA17,uncultured__bacterium,Bacteria,1,Bacteroidota,0.53666292,Bacteroidia,0.53666292,Bacteroidales,0.53666292,Bacteroidetes__vadinHA17,0.222736391,uncultured__bacterium,0.410464835
Bin99,0.000290446,OTU_2018,0.213710155,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,Sunxiuqinia,Bacteria,1,Firmicutes,0.443820923,Bacteroidia,0.415837272,Bacteroidales,0.356479551,Prolixibacteraceae,0.292705117,Sunxiuqinia,0.237656875
Bin100,0.290697961,OTU_2014,0.999713026,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Bacteria,1,Fusobacteriota,1,Fusobacteriia,1,Fusobacteriales,1,Fusobacteriaceae,1,Fusobacterium,0.999991937
Bin101,0.017294669,OTU_2020,0.645134494,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Propionigenium,Bacteria,1,Fusobacteriota,0.997209206,Fusobacteriia,0.997209206,Fusobacteriales,0.997209206,Fusobacteriaceae,0.997083855,Propionigenium,0.657607175
Bin102,0.026314474,OTU_2888,0.872319949,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Dethiosulfatibacteraceae,Dethiosulfatibacter,Bacteria,1,Firmicutes,1,Clostridia,1,Peptostreptococcales-Tissierellales,0.992550092,Dethiosulfatibacteraceae,0.99227528,Dethiosulfatibacter,0.99227528
Bin103,0.000438589,OTU_3283,0.398893418,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Dethiosulfatibacteraceae,Dethiosulfatibacter,Bacteria,1,Firmicutes,1,Clostridia,1,Peptostreptococcales-Tissierellales,1,Dethiosulfatibacteraceae,0.936274181,Dethiosulfatibacter,0.936274181
Bin104,0.004015521,OTU_2595,0.820940558,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Dethiosulfatibacteraceae,Dethiosulfatibacter,Bacteria,1,Firmicutes,1,Clostridia,1,Peptostreptococcales-Tissierellales,1,Dethiosulfatibacteraceae,0.999411686,Dethiosulfatibacter,0.999411686
Bin105,0.001597909,OTU_8,0.530149898,Bacteria,Fermentibacterota,Fermentibacteria,Fermentibacterales,Fermentibacteraceae,uncultured__bacterium,Bacteria,1,Fermentibacterota,0.954862646,Fermentibacteria,0.954862646,Fermentibacterales,0.954862646,Fermentibacteraceae,0.954862646,uncultured__bacterium,0.965591818
Bin106,0.00448933,OTU_3051,0.75106806,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,JTB215,bacterium__enrichment__culture__clone__AOM-SR-B4,Bacteria,1,Firmicutes,1,Clostridia,1,Peptostreptococcales-Tissierellales,1,JTB215,0.951910423,bacterium__enrichment__culture__clone__AOM-SR-B4,0.775909758
Bin107,0.026572371,OTU_2926,0.952681949,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,uncultured,marine__sediment__metagenome,Bacteria,1,Firmicutes,1,Clostridia,1,Peptostreptococcales-Tissierellales,1,uncultured,0.992155002,marine__sediment__metagenome,0.989776
Bin108,0.000492694,OTU_3302,0.300525652,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,JTB215,bacterium__enrichment__culture__clone__AOM-SR-B4,Bacteria,1,Firmicutes,1,Clostridia,1,Peptostreptococcales-Tissierellales,0.965789406,JTB215,0.867532144,bacterium__enrichment__culture__clone__AOM-SR-B4,0.726888564
Bin109,0.005441124,OTU_2042,0.418757964,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,livecontrolB21,uncultured__bacterium,Bacteria,1,Firmicutes,1,Clostridia,1,Peptostreptococcales-Tissierellales,1,livecontrolB21,0.555225353,uncultured__bacterium,0.997095957
Bin110,0.000641688,OTU_130,0.497251395,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,uncultured__bacterium,Bacteria,1,Actinobacteriota,0.497251395,Thermoleophilia,0.497251395,Gaiellales,0.497251395,uncultured,0.523418781,uncultured__bacterium,0.855028585
Bin111,0.005855396,OTU_3093,0.440066874,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,Bacteria,1,Firmicutes,1,Clostridia,1,Peptostreptococcales-Tissierellales,1,Peptostreptococcaceae,0.85709697,Romboutsia,0.469223875
Bin112,0.010361831,OTU_3464,0.794737883,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Peptoclostridium,Bacteria,1,Firmicutes,1,Clostridia,1,Peptostreptococcales-Tissierellales,1,Peptostreptococcaceae,0.97235428,Peptoclostridium,0.966362874
Bin113,0.003746679,OTU_2453,0.906646816,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Fusibacteraceae,Fusibacter,Bacteria,1,Firmicutes,1,Clostridia,1,Peptostreptococcales-Tissierellales,1,Fusibacteraceae,0.987408504,Fusibacter,0.987408504
Bin114,0.001906843,OTU_3252,0.864925814,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,uncultured__bacterium,Bacteria,1,Firmicutes,1,Clostridia,1,Peptostreptococcales-Tissierellales,1,Anaerovoracaceae,0.983672821,uncultured__bacterium,0.952334429
Bin115,0.002106519,OTU_3107,0.412227378,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,S5-A14a,Bacteria,1,Firmicutes,1,Clostridia,1,Peptostreptococcales-Tissierellales,1,Anaerovoracaceae,0.999339926,S5-A14a,0.439011854
Bin116,0.001353946,OTU_2645,0.346104806,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Fusibacteraceae,Fusibacter,Bacteria,1,Firmicutes,1,Clostridia,1,Peptostreptococcales-Tissierellales,1,Fusibacteraceae,0.971826712,Fusibacter,0.971826712
Bin117,0.000943202,OTU_2504,0.221563098,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Fusibacteraceae,Fusibacter,Bacteria,1,Firmicutes,1,Clostridia,1,Peptostreptococcales-Tissierellales,1,Fusibacteraceae,0.954928059,Fusibacter,0.954928059
Bin118,0.002055037,OTU_2339,0.633563396,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Guggenheimella,Tindallia__sp.__Mic8c12,Bacteria,1,Firmicutes,1,Clostridia,1,Peptostreptococcales-Tissierellales,1,Guggenheimella,0.900314547,Tindallia__sp.__Mic8c12,0.899728527
Bin119,0.008783299,OTU_2357,0.855018293,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Fusibacteraceae,Fusibacter,Bacteria,1,Firmicutes,0.999305322,Clostridia,0.999305322,Peptostreptococcales-Tissierellales,0.895370167,Fusibacteraceae,0.894534542,Fusibacter,0.894534542
Bin120,0.000167549,OTU_2913,0.343180007,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured,Bacteria,1,Firmicutes,1,Clostridia,1,Lachnospirales,1,Lachnospiraceae,1,uncultured,0.39859748
Bin121,0.00031605,OTU_2607,0.768675148,Bacteria,Firmicutes,Clostridia,Lachnospirales,Defluviitaleaceae,Defluviitaleaceae__UCG-011,Bacteria,1,Firmicutes,1,Clostridia,1,Lachnospirales,1,Defluviitaleaceae,0.912607535,Defluviitaleaceae__UCG-011,0.912607535
Bin122,0.002084364,OTU_572,0.727850075,Bacteria,Firmicutes,Desulfitobacteriia,Desulfitobacteriales,uncultured,uncultured__Firmicutes__bacterium,Bacteria,1,Firmicutes,1,Desulfitobacteriia,0.977553356,Desulfitobacteriales,0.977553356,uncultured,0.99564127,uncultured__Firmicutes__bacterium,0.778796799
Bin123,0.000211446,OTU_2928,0.24646042,Bacteria,Firmicutes,Desulfitobacteriia,Desulfitobacteriales,uncultured,uncultured__bacterium,Bacteria,1,Firmicutes,1,Desulfitobacteriia,1,Desulfitobacteriales,1,uncultured,1,uncultured__bacterium,1
Bin124,0.000255216,OTU_3073,0.084627404,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes__vadinHA17,uncultured__bacterium,Bacteria,1,Bacteroidota,0.794638308,Bacteroidia,0.794638308,Bacteroidales,0.635460361,Prolixibacteraceae,0.209565499,uncultured__bacterium,0.321914987
Bin125,0.000289791,OTU_150,0.216389477,Bacteria,Firmicutes,Clostridia,Peptococcales,Peptococcaceae,uncultured,Bacteria,1,Firmicutes,0.596338331,Clostridia,0.596338331,Peptococcales,0.559615023,Peptococcaceae,0.559615023,uncultured,0.539589431
